	PPN	Bibliographische Gattung und Status	Sprache	Erscheinungsjahr	Erscheinungsort	Erscheinungsort GND	Titel	Verfasservorname	Verfassername	GND Verfasser	1. Weitere Verfasser Vorname	1. Weitere Verfasser Nachname	1. Weitere Verfasser GND	2. Weitere Verfasser Vorname	2. Weitere Verfasser Nachname	2. Weitere Verfasser GND	1. Weitere Person Vorname	1. Weitere Person Nachname	1. Weitere Person GND	2. Weitere Person Vorname	2. Weitere Person Nachname	2. Weitere Person GND	1. Sonstige Person Vorname	1. Sonstige Person Nachname	1. Sonstige Person GND	2. Sonstige Person Vorname	2. Sonstige Person Nachname	2. Sonstige Person GND
1012	151681384	Afr	fre	1716	Amsterdam		Les Fées, contes des contes	Charlotte-Rose	Caumont de la Force	gnd/118638262													Marie Catherine Le Jumel de Barneville	Aulnoy	gnd/118808788			
1013	151684510	Aaus	fre	1699	Troyes		L'Histoire De Melusine	Jean		gnd/118864246																		
1014	151685541	Aavs	fre	1781	A Berlin	gnd/4005728-8	Lettre Sur La Littérature Allemande ; A Son Altesse Royale Madame La Duchesse Douairière De Brunswick-Wolfenbuttel	Johann Friedrich Wilhelm	Jerusalem	gnd/118557459							Ewald Friedrich	Hertzberg	gnd/116754974	Philippine Charlotte	leer	gnd/101423209						
1015	151688664	Acr	fre	1716	Amsterdam		Mémoires de la cour d'Espagne	Marie Catherine Le Jumel de Barneville	Aulnoy	gnd/118808788																		
1016	151693145	Aar	fre	1710	Amsterdam		Histoires Françoises Galantes Et Comiques	Robert	Challes	gnd/118675486																		
1017	151693234	Acr	fre	1679	Paris		Histoire Des Grands Vizirs Mahomet Coprogli Pacha, Et Achmet Coprogli Pacha	François	Chassepol	gnd/1055507388																		
1018	1037676254	Aan	chi	1986	北京		环境质量标准总论	朱根逸		eacatph003049																		
1019	151693706	Aar	fre	1724	Amsterdam		Poesies De Monsieur L'Abbé De Chaulieu Et De Monsieur Le Marquis De La Fare	Guillaume Amfrye	Chaulieu	gnd/10007894X																		
1020	151693897	Aau	fre	1701	Amsterdam		Memoires De Gaspard Comte De Chavagnac, Maréchal De Camp dans les Armées du Roy, General de l'Artillerie, Sergent de Batailles de celles de Sa Majesté Catholique, & Lieutenant General des Troupes de l'Empereur & son Ambassadeur en Pologne	Gatien	Courtilz de Sandras	gnd/118642170													Gaspard	Chavagnac	gnd/117655864			
1021	151693994	Acu	fre	1732	La Haye		Le Chef D'Oeuvre D'Un Inconu ; Poëme										Thémiseul	Saint-Hyacinthe	gnd/119097672									
1022	151702543	Acu	fre	1743	Bruxelles		L'Orthopédie ou L'Art De Prevenir Et Corriger Dans Les Enfans, Les Difformités Du Corps ; Le Tout Par Des Moyens à la portée des Peres & des Meres, & de toutes les Personnes qui ont des Enfans à élever ; Avec Figures	Nicolas	Andry de Boisregard	gnd/118645269																		
1023	151702837	Aau	fre	1716	La Haye		Les Anecdotes de Suède ou l'histoire secrète des changements arrivez dans la Suède sous le regne de Charles XI.										Johan Paulin	Olivekrans	gnd/104354615	Esaias	Pufendorf	gnd/104156457	leer	leer	gnd/119160978			
1024	151704724	Acr	fre	1734	La Haye		Lettres de la Marquise de M *** au Comte de R ***	Claude Prosper Jolyot	Crébillon	gnd/118677276																		
1025	151704899	Aaus	fre	1729	La Haye		Les Oeuvres De Monsieur De Crebillon	Prosper Jolyot	Crébillon	gnd/118677284							...	Vaudemont	leer									
1026	151705259	Acr	fre	1729	Impr. à Rouen		Les Oeuvres	Florent Carton	Dancourt	gnd/118702378																		
1027	151705348	Aar	fre	1707	Amsterdam		L'Art de succer les plaies sans se servir de la bouche d'un homme. Avec un Discours d'un spécifique propre à prévenir certaines maladies vénériennes jusques à présent inconnu (Discours pour prouver qu'il est possible de prévenir certaines maladies vénérienes par le moien d'un spécifique).	Dominique	Anel	gnd/124566782																		
1028	151706743	Acus	fre	1728	Paris		Memoires De Mademoiselle De Montpensier, Fille de Mr. Gaston D'Orléans, Frère De Louis XIII., Roi de France	Anne Marie Louise Henriette D'Orléans	Montpensier	gnd/118835440							Jean Regnault	Segrais	gnd/118796046									
1029	151707138	Aar	fre	1700	Paris		Anonimiana ou mélange de poésies, d'éloquence et d'erudition.																					
1030	151709009	Acr	fre	1699	Amsterdam		Diversitéz Curieuses Pour Servir De Recreation A L'Esprit										Laurent	Bordelon	gnd/100048552									
1031	151709009	Acr	fre	1699	Amsterdam		Diversitéz Curieuses Pour Servir De Recreation A L'Esprit										Laurent	Bordelon	gnd/100048552									
1032	151709785	Aar	fre	1713	Amsterdam		Histoire généalogique et chronologique de la Maison royale de France, ...	Anselme		gnd/100012027							Honoré Caille	DuFourny	gnd/1055259627									
1033	151710880	Aaus	fre	1618	A Rouen	gnd/4050751-8	Roland Fvrievx	Ludovico	Ariosto	gnd/118503952							Gabriel	Chappuys	gnd/123598605	Claude	Le Villain	gnd/1037621883						
1034	151710937	Acus	fre	1741	La Haye		Roland Furieux ; Poeme Heroique De L'Arioste	Ludovico	Ariosto	gnd/118503952							Jean Baptiste	Mirabund	gnd/1055599126									
1035	151712980	Aar	fre	1709	Amsterdam		Les Caractères	Epictetus		gnd/118530577							Jean-Baptiste	Morvan de Bellegarde	gnd/101503660									
