	PPN	Bibliographische Gattung und Status	Sprache	Erscheinungsjahr	Erscheinungsort	Erscheinungsort GND	Titel	Verfasservorname	Verfassername	GND Verfasser	1. Weitere Verfasser Vorname	1. Weitere Verfasser Nachname	1. Weitere Verfasser GND	2. Weitere Verfasser Vorname	2. Weitere Verfasser Nachname	2. Weitere Verfasser GND	1. Weitere Person Vorname	1. Weitere Person Nachname	1. Weitere Person GND	2. Weitere Person Vorname	2. Weitere Person Nachname	2. Weitere Person GND	1. Sonstige Person Vorname	1. Sonstige Person Nachname	1. Sonstige Person GND	2. Sonstige Person Vorname	2. Sonstige Person Nachname	2. Sonstige Person GND
0	1182651801	Aar	ger	1912	Berlin-Zehlendorf		Ein Lebensbuch	Friedrich	Hebbel	gnd/118547445							Walther	Bloch-Wunschmann	leer									
1	1184903093	Aau	ger	1914	Leipzig		Zelle und Gewebe in neuem Licht ; mit 40 Figuren im Text	Emil	Rohde	gnd/116597216																		
2	131127055	Acus	fre	1729	A La Haye		Histoire Naturelle, Civile Et Ecclesiastique De L'Empire Du Japon ; Ouvrage enrichi de quantité de Figures dessinées d'après le naturel par l'Auteur même	Engelbert	Kaempfer	gnd/118559168							John Gaspar	Scheuchzer	gnd/123709644									
3	133539598	Aau	fre	1726	La Haye		Les Quinze Joyes De Mariage ; Ouvrage Très Ancien, Auquel on a joint le Blason des fausses amours, le Loyer des folles amours, & le triomphe des muses contre amour ; Le tout enrichi de Remarques & de Diverses Leçons										François	Rosset	gnd/124595553	Guillaume	Crétin	gnd/10079498X						
4	133542475	Acu	fre	1720	Amsterdam		La Vie, Les Avantures, & le Voyage De Groenland Du Révérend Pere Cordelier Pierre De Mesange ; Avec une Relation bien circonstanciée de l'origine, de l'histoire, des mœurs, & du Paradis des Habitans du Pole Arctique	Simon	Tyssot de Patot	gnd/123599288																		
5	133542688	Aar	fre	1713	Paris		Le prince Kouchimen ; histoire Tartare	François-Timoléon	Choisy	gnd/118675966																		
6	133542726	Acus	fre	1726	Amsterdam	gnd/4001783-7	Histoire Secrette Des Femmes Galantes De L'Antiquité	François-Nicolas	Dubois	gnd/1055552014																		
7	133546055	Aaus	fre	1715	Amsterdam		La Voiture Embourbée. Ou Le Roman Naturel	Pierre Carlet de Chamblain	Marivaux	gnd/118577972																		
8	133546128	Acus	fre	1737	Paris		Pharsamon, Ou Les Nouvelles Folies Romanesques	Pierre Carlet de Chamblain	Marivaux	gnd/118577972																		
9	133549267	Acr	fre	1713	A La Haye		L'Atalantis de Madame Manley, traduit de l'Anglois. Contenant les intrigues politiques, et amoureuses, de la noblesse de cette ile, et où l'on découvre le secret de la dernière révolutions arrivées depuis l'an 1683 jusques à present	Mary DeLaRivière	Manley	gnd/118813781																		
10	133550028	Acus	fre	1721	La Haye		Le Conte Du Tonneau ; Contenant tout ce que les Arts, & les Sciences Ont de plus Sublime, Et de plus Mysterieux ; Avec plusieurs autres Piéces très-curieuses ; Traduit de l'Anglois	Jonathan	Swift	gnd/118620193																		
11	133550559	Acus	fre	1750	A Amsterdam	gnd/4001783-7	Histoire De Tom Jones, Ou L'Enfant Trouvé	Henry	Fielding	gnd/118532960							Pierre Antoine	La Place	gnd/104270659	Hubert François	Gravelot	gnd/121286673						
12	133566455	Aar	fre	1700	La Haye		Annales galantes ; divisées en huit parties	Marie Cathérine Hortense Desjardins	Villedieu	gnd/118808915																		
13	133601803	Acu	fre		La Haye		Le Comte d'Amboise, Nouvelle Galante	Catherine	Bernard	gnd/118940252																		
14	133990087	Aaus	fre	1750	Amsterdam		Considérations Sur Le Commerce Et La Navigation De La Grande-Bretagne ; Ouvrage traduit de l'Anglois	Joshua	Gee	gnd/1046818821							Jean-Baptiste	Montesquieu	gnd/11765454X									
15	134611659	Acu	fre	1699	Lyon		Nouveau Voyage D'Italie Contenant Une Description Exacte de toutes ses Provinces, Villes, & lieux considérables, & des Isles qui en dépendent, Avec Les Routes, Et Chemins Publics pour y parvenir, La Distance Des Lieux, Et Les Choses remarquables qu'on y rencontre ...	François-Jacques	Deseine	gnd/128449098																		
16	134618025	Acus	fre	1753	Paris		La Vie Des Peintres Flamands, Allemands et Hollandois ; Avec Des Portraits Gravés en Taille-douce, une indication de leurs principaux Ouvrages, & des Réflexions sur leurs différentes manieres	Jean Baptiste	Descamps	gnd/104130725																		
17	134822528	Acu	fre	1716	Amsterdam		Bibliotheque Des Dames ; Contenant Des Règles générales pour leur conduite dans toutes les circonstances de la Vie										Richard	Steele	gnd/118752936	François Michel	Janiçon	gnd/100188303						
18	134850548	Acus	fre	1702	La Haye		Discours Sur Le Gouvernement	Algernon	Sidney	gnd/118907158							Peter A.	Samson	gnd/1055121897									
19	134858425	Aar	fre	1707	Amsterdam		Du pouvoir des souverains; et de la liberté de conscience. En deux discours	Gerard	Noodt	gnd/118869361							Jean	Barbeyrac	gnd/118652443									
20	134916611	Aaus	fre	1726	La Haye	gnd/4011446-6	Ebauche De La Religion Naturelle ; Traduite de L'Anglois ; Avec Un Supplement, Et autres Additions considérables	William	Wollaston	gnd/100483976							Garrigue	leer	gnd/1055723048									
21	134919149	Aaus	fre	1745	Leide		Dissertation Sur La Perfection Du Monde Corporel Et Intelligent	Wijer Willem	Muys	gnd/1055123156																		
22	134938844	Aar	fre	1691	Cologne		La morale d'Epicure avec des reflexions [par J. Parrain DesCoustures]	Epicurus		gnd/118530585							Jacques Parrain	Des Coutures	gnd/100104665									
23	134957520	Aar	fre	1704	La Haye		Traité du mérite	Vassetz		gnd/1055126783																		
24	135093201	Acus	fre	1731	Paris		Mythologie, Ov L'Histoire Des Dieux, Des Demi-Dieux, Et Des Plus Illustres Heros De L'Antiquité Payenne ; Contenant l'Explication de la Fable & de la Metamorphose ... ; Avec la Relation de la Destruction de Troye, par Darés Phrygien, nouvellement traduite en François, sur la Traduction Latine de Cornelius Nepos	N.	Dupuy La Chapelle	gnd/100116760							Dares	leer	gnd/118678876									
25	135186994	Aaus	fre	1694	La Haye		Nouveau Voyage Du Levant, Par le Sieur D. M. ; Contenant ce qu'il a vû de plus remarquable en Allemagne, France, Italie, Malthe, [et] Turquie ; Où l'on voit aussi les Brigues secretes de Mr. de Chateau-neuf, Ambassadeur de France à la Cour Ottomanne, [et] plusieurs Histoires Galantes	Jean	Dumont	gnd/124332269							Guillaume	Schuylenburg	leer									
26	135396352	Aaus	fre	1689	Amsterdam		Second Voyage Du Pere Tachard Et des Jesuïtes, Envoyés par le Roy, Au Royaume De Siam ; Contenant diverses remarques d'Histoire de Physique, de Geographie, & d'Astronomie	Guy	Tachard	gnd/119246007							Louis	France, Roi, XIV.	leer									
27	135484189	Aaus	fre	1667	Paris		La Bibliotheqve Françoise, De M. C. Sorel Premier Historiographe de France	Charles	Sorel	gnd/11861570X																		
28	135484200	Aaus	fre	1733	Paris		Bibliotheque Des Theatres ; Contenant Le Catalogue Alphabetique des Piéces Dramatiques, Opera, Parodies, & Opera Comiques; & le tems de leurs Représentations ; Avec Des Anecdotes Sur la plûpart des Piéces contenuës en ce Recüeil, & sur la vie des Auteurs, Musiciens & Acteurs	...	Maupoint	gnd/1157514847							...	Gallyot	leer									
29	135657873	Aau	fre	1699	Amsterdam		Relation D'un Voyage Fait en 1695. 1696. & 1697. Aux Côtes D'Afrique, Détroit de Magellan, Bresil, Cayenne et Isles Antilles, Par une Escadre des Vaisseaux du Roi, commandée par M. De Gennes	François	Froger	gnd/11753854X																		
30	135703093	Aar	fre	1730	Amsterdam		Journal exact ou description circonstanciée de tout ce qui s'est passé dans le grand Campement de Sa Majesté le Roi de Pologne & Electeur de Saxe, entre Radivitz & Muhlberg, en Saxe, auprès de l'Elbe ; Depuis le 31. de Mai 1730 jusqu'au 28. de Juin, jour pour jour																					
31	135709563	Aaus	ger	1749	Stuttgart		Ausführliche Beschreibung, Des zu Baÿreuth im September ... 1748. vorgegangenen Hoch Fürstlichen Beÿlagers, und derer zu Anfang des Octobers darauf, in denen Hoch Fürstlich Württembergischen Landen, so wohl zu Stuttgardt als Ludwigsburg erfolgten Hoch Fürstlichen Heimführungs Festivitæten ... Herrn Carls, Regierenden Herzogs Zu Württemberg und Teck ... und ... Frauen Elisabethæ Fridericæ Sophiæ ... gebohrner MargGräfin zu Brandenburg Baÿreuth ...	Wilhelm Friderich	Schoenhaar	gnd/1157551645																		
32	135736579	Aar	fre	1693	Cologne		L'Histoire de l'Archiduc Albert, Gouverneur General Et Puis Prince Souverain De La Belgique	Jean-Chrysostome	Bruslé de Montpleinchamp	gnd/122855043																		
33	135736870	Acr	fre	1727	Paris [u.a.]		Histoire Des Revolutions Des Païs-Bas ; Depuis l'an 1559 jusques à l'an 1584	Joseph Albert	Pagi	gnd/101428596																		
34	135738989	Acr	fre	1715	Lewarde		Histoire Du Prince D'Orange Et De Nassau etc: ; Divisée en deux Parties ; Enrichie des Plans des Villes, & de leurs Fortifications	Isaac	Lamigue	gnd/139853111																		
35	135742501	Aar	fre	1749	Amsterdam		Histoire Du Stadhouderat ; Depuis Son Origine Jusqu'A Present	Guillaume Thomas François	Raynal	gnd/118969420							Jean	Rousset de Missy	gnd/119145936									
36	135753767	Acu	fre	1782	Berlin		Mémoires Pour Servir À L'Histoire Des Réfugiés François Dans Les États Du Roi	Jean Pierre	Erman	gnd/104114150	Peter Christian Friedrich	Reclam	gnd/12477489X															
37	135754569	Acr	fre	1791	Berlin		Mémoires pour servir à l'histoire des quatre derniers souverains de la maison de Brandebourg royale de Prusse	Karl Ludwig	Pöllnitz	gnd/119475979							Friedrich Leopold	Brunn	gnd/100059511									
38	135755298	Aau	fre	1788	Berlin		Monument séculaire consacré à la Mémoire de Fréderic Guillaume le Grand mort à Potsdam le 29. Avril 1688																leer	leer	gnd/11853596X			
39	135792444	Aau	fre	1785	[Berlin]		Sur la population des États en général et sur celle des états Prussiens en particulier ; dissertation, qui a été lue dans l'assemblée publique de l'Académie des Sciences & des Belles-Lettres à Berlin, le 27. Janvier 1785. ...	Ewald Friedrich	Hertzberg	gnd/116754974																		
40	135841534	Acvs	fre	1741	A Amsterdam & A Leipzig	gnd/4001783-7	Histoire De Frederic Guillaume I. Roi De Prusse Et Electeur De Brandebourg. &c. &c. &c.	Éléazar	Mauvillon	gnd/115627995							Johann Caspar	Arkstée	gnd/140015450	Henricus	Merkus	gnd/140015590	leer	leer	gnd/118535978			
41	135841933	Aau	fre	1791	Berlin		Correspondance de Frédéric II. avant et après son avènement au thrône avec M. Duhan de Jandun	Friedrich		gnd/118535749	Charles Gilles	Duhan de Jandun	gnd/11766085X															
42	135846692	Aau	fre	1768	Berlin		Éloge Du Prince Henri De Prusse ; Lû dans l'Assemblée extraordinaire de l'Academie Royale des Sciences le 30 Decembre 1767	Friedrich		gnd/118535749													leer	leer	gnd/129202193			
43	135847192	Aau	fre	1788	[Berlin]		Mémoire Sur Le Vrai Caractère D'Une Bonne Histoire, Et Sur La Seconde Année Du Règne De Frédéric Guillaume II. Roi De Prusse ; lu dans l'assemblée publique de l'Académie des Sciences de Berlin, le 21. Août 1788	Ewald Friedrich	Hertzberg	gnd/116754974													leer	leer	gnd/11869362X			
44	135849470	Aaus	fre	1740	Francfort		Histoire Abrégée De La Maison Palatine, Par Mr. l'Aabbé Schannat, Où on a joint Une Dissertation Préliminaire Sur les Comtes Palatins Du Moyen Age.	Johann Friedrich	Schannat	gnd/117103950							Antoine	La Barre de Beaumarchais	gnd/100743714									
45	135849934	Aaus	fre	1645	Leyden		Memoires Sur la vie & la mort de la Serenissime Princesse, Loyse Iuliane, Electrice Palatine, née Princesse d'Orange &c. ; Contenans un Abbregé de qulques evenemens notables de nos temps, & de divers Mysteres qui s'y sontpassez ...	Friedrich	Spanheim	gnd/117648914							Elisabeth	leer	gnd/119352540				...	Horn	leer	C. V.	Dalen	leer
46	135878446	Aau	fre	1737	Paris		L'Arcadie De Sannazar	Jacopo	Sannazaro	gnd/118794469							Antoine	Pecquet	gnd/121605515									
47	135948436	Aau	fre	1720	La Haye		Momus Fabuliste, Ou Les Nôces De Vulcain ; Comédie	Louis	Fuzelier	gnd/132469871																		
48	135974356	Acus	fre	1725	La Haye		Bibliotheca Duboisiana. Ou Catalogue De La Bibliotheque De feu son Eminence Monseigneur le Cardinal Du Bois ; Recueillie ci devant par Monsieur L'Abbe Bignon ; La vente publique se fera le 27. Aoust 1725. par Jean Swart, Et Pierre De Hondt ...										Jean Paul	Bignon	gnd/120052539				Guillaume	Dubois	gnd/120955059			
49	136161960	Aau	fre	1718	Paris		Relation de divers voyages faits dans l'Afrique, dans l'Amerique, & aux Indes Occidentales ; La Description du Royaume de Juda, & quelques particularitez touchant la vie du Roy regnant. La Relation d'une Isle nouvellement habitée dans le détroit de Malaca en Asie, & l'Histoire de deux Princes de Golconde	...	Dralsé de Grand-Pierre	gnd/124757146																		
50	136192734	Aaus	fre	1707	Amsterdam		Histoire De La Virginie ; Contenant I. L'Histoire du premier Etablissement dans la Virginie, & de son Gouvernement jusqués à présent. II. Les productions naturelles et les commoditez du Pais, avant que es Anglois y negociassent et l'ameliorassent. III. La Religion, Les Loix, & les Coutumes des Indiens Naturels. IV. L'Etat présent du Pais ...	Robert	Beverley	gnd/123579821																		
51	136310931	Aau	fre	1679	Cologne		La Vie Et Les Actions De Monseigneur Christophle Bernard de Gale, Evéque de Munster Prince du St. Empire, Administrateura Corvay, Marquis de Strombergh, &c.	Simon	Vries	gnd/119208873													leer	leer	gnd/118520709			
52	136524346	Acu	fre	1788	Berlin		Mémoires du Baron De La Motte Fouqué, Général D'Infanterie Prussienne, Dans Lesquels On a inséré sa Correspondance intéressante avec Frédéric II, Roi de Prusse	Heinrich August de La Motte-	Fouqué	gnd/118692313	Friedrich	leer	gnd/118535749				Gottfried August	Büttner	gnd/100062164									
53	1580144063	Acu	fre	1742	La Haye	gnd/4011446-6	Melanges De Litterature Et De Philosophie ; Ouvrages	Alexander	Pope	gnd/118595741							Etienne	Silhouette	gnd/117385301									
54	136656706	Acvs	fre	1758	[Erscheinungsort nicht ermittelbar]		Mémoires Pour Servir A L'Histoire De Brandebourg ; De Main de Maître	Friedrich		gnd/118535749																		
55	136794785	Acu	fre	1725	Amsterdam		Jugemens Des Savans Sur Les Principaux Ouvrages Des Auteurs	Adrien	Baillet	gnd/118651951							Bernard	La Monnoye	gnd/100027970									
56	136932452	Aaus	fre	1796	Brunsvick		De L'Esprit Des Économistes Ou Les Économistes Justifiés D'Avoir Posé Par Leurs Principes Les Bases De La Révolution Françoise	Dmitrij A.	Golicyn	gnd/100138764																		
57	136951317	Aavs	fre	1760	Hambourg		Le Maitre Et Le Serviteur Ou Les Devoirs Reciproques D'Un Souverain Et De Son Ministere ; crayonnés avec une liberté patriotique	Friedrich Carl	Moser	gnd/118737074							Jean	Champigny	gnd/131381040									
58	136958117	Aaus	fre	1707	[S.l.]		Projet D'Une Dixme Royale ; Qui Supprimant La Taille, Les Aydes, les Doüanes d'une Province à l'autre, ... Et diminuant le prix du Sel de moitié & plus, produiroit au Roy un Revenu Certain Et Suffisant, sans frais; & sans être à charge à l'un de ses Sujets plus qu'à l'autre, qui s'augmenteroit considerablement par la meilleure Culture des Terres	Sébastien Le Prestre	Vauban	gnd/118626264																		
59	137091648	Aav	fre	1741	Gottingen		Anti-Machiavel Ou Essai De Critique Sur Le Prince De Machiavel	Friedrich		gnd/118535749							Voltaire	leer	gnd/118627813									
60	137109067	Acr	fre	1739	Leide		Institution D'Un Prince; Ou Traité Des Qualitez Des Vertus Et Des Devoirs D'Un Souverain	Jacques Joseph	Duguet	gnd/119449749																		
61	137142560	Aau	fre	1688	[S.l.]		Dissertation Historique Et Politique Sur L'Antipathie, qui se trouve Entre les Francois Et Les Espagnols.																					
62	137153775	Acr	fre	1667	Paris		L'Evrope vivante, ov relation novvelle, historiqve & politiqve de tovs ses estats ; ...	Samuel	Chappuzeau	gnd/124861075																		
63	137216807	Acus	fre	1694	La Haye		Memoires De Jaques Melvil ; Contenant une exacte Relation de quelques évenemens du dernier Siécle trés-importans, qui ne se trouvent point dans les autres Historiens. ; Principalement par raport à l'Angleterre & à l'Ecosse, Sous le Régne de la Reine Elizabeth, De Marie Stuard, Et De Jaques I.	James	Melville	gnd/122535731							George	Scot	gnd/1073311856	Gustav Daniel	Schmidt	gnd/129425532	leer	leer	gnd/118529870	leer	leer	gnd/118577808
64	137300891	Acu	fre	1702	La Haye		Memoires De La Derniere Revolution D'Angleterre ; Contenant L'Abdication de Jaques II., l'avenement de S. M. le Roi Guillaume III. à la Couronne, et plusieurs choses arrivées soûs son Régne	Guillaume	Lamberty	gnd/1157538665																		
65	137304242	Acus	fre	1729	La Haye		Memoires Du Regne De George I. Roi de la Grande Bretagne, de France & d'Irlande, Défenseur de la Foi, Electeur de Brunswyck-Lunebourg, &c. &c. &c.	Henri Philippe	Limiers	gnd/120303132													leer	leer	gnd/118538535			
66	137514417	Acu	fre	1783	Londres [u.a.]		Nouveau voyage en Espagne fait en 1777 et 1778 ; dans lequel on traite des mœurs, du caractere, des monuments anciens & [et] modernes, du commerce, du théatre, de la législation des tribunaux particuliers à ce royaume, & [et] de l'inquisition; avec de nouveaux détails sur son état actuel, & [et] sur une procédure récente & [et] fameuse	Jean François	Peyron	gnd/1015696503																		
67	137537204	Aaus	fre	1746	Paris		Introduction A La Connoissance De L'Esprit Humain, Suivie De Reflexion Et De Maximes	Luc de Clapiers	Vauvenargues	gnd/118767410							...	Jolly	leer									
68	137624956	Aaus	fre	1739	A Paris	gnd/4044660-8	Histoire De La Poësie Françoise ; Avec une Défense de la Poësie	Guillaume	Massieu	gnd/100828418							François Augustin	Moncrif	gnd/104196335	Laurent François	Prault	gnd/136531253						
69	137706634	Acr	fre	1680	Paris		Histoire de Bavière ; qui traitte de l'origine des peuples, qui les premiers habiterent la Baviere, ...	Thomas	Blanc	gnd/100044050																		
70	137715943	Aar	fre	1788	Berlin		Recherches historiques sur le mariage du margrave Jean de Brandebourg avec Germaine de Foix veuve de Ferdinand le Catholique	Jean Pierre	Erman	gnd/104114150													leer	leer	gnd/132274582	Germaine	Foix	gnd/142342971
71	137722761	Acus	fre	1692	Paris		Recueil Des Plus Belles Pièces Des Poëtes François, Tant Anciens que Modernes, Avec L'Histoire De Leur Vie										François	Barbin	gnd/1157593550	Bernard Le Bovier	Fontenelle	gnd/118639056						
72	137723970	Acr		1666	Paris		Nouveau recueil des plus beaux airs de cour ; contenant plusieurs gavottes, bourées, gigues, vilanelles, courantes, sarabandes, menüets, entrées de ballet, et autres chansons nouvelles du temps, de differens autheurs																					
73	137905068	Acr	fre	1718	A Amsterdam		Méthode pour étudier la Géographie ; avec un Discours Préliminaire sur l'étude de cette Science, et un Catalogue des Cartes Géographiques, des Relations, Voyages, et Descriptions les plus nécessaires pour la Géographie	Nicolas	Lenglet Du Fresnoy	gnd/118907026																		
74	137914679	Acu	fre	1718	Amsterdam		Nouvelles Lettres De Feu Mr. Gui Patin ; Tirees Du Cabinet De Mr. Charles Spon, Contenant l'Histoire du tems, & des particularitez sur la Vie & sur les Ecrits des Savans de son Siécle	Guy	Patin	gnd/11768998X							Charles	Spon	gnd/130068063									
75	138217734	Aaus	fre	1719	Amsterdam		La Conduite Des Cours De La Grande-Bretagne Et D'Espagne; Ou Relation succinte de ce qui s'est passé de plus considerable entre ces deux Cours par rapport à la situation présente des affaires ... ; Traduit de l'Anglois.																					
76	138218145	Acu	fre	1742	Cologne		Dialogues entre Charles VI., seizième empereur de la maison d'Autriche, et Frederic Guillaume, Roi de Prusse ...	Gautier de Faget		gnd/101793553													leer	leer	gnd/118560107	leer	leer	gnd/118535978
77	138220026	Aar	fre	1708	Londres		La conduite du Comte de Peterborow en Espagne, sur tout depuis la levée du siège de Barcelona en 1706 ; avec la campagne de Valence ; Traduit de l'Anglois	John	Freind	gnd/10083034X													Charles	Mordaunt	gnd/119524309			
78	138221634	Acus	fre	1707	Cologne		Lettres Historiques Et Galantes ; Ouvrage Curieux	Anne Marguerite Petit	Du Noyer	gnd/100115454																		
79	138221634	Acus	fre	1707	Cologne		Lettres Historiques Et Galantes ; Ouvrage Curieux	Anne Marguerite Petit	Du Noyer	gnd/100115454																		
80	138236720	Aar	fre	1715	Paris		Histoire chronologique du dernier siècle ...	Claude	Buffier	gnd/120570939																		
81	138471193	Acu	fre	1717	A Anvers		L' Histoire Profane Depuis son commencement jusqu'à présent	Louis Ellies	Du Pin	gnd/100115993							Jean François	Lucas	gnd/1037573420									
82	138501459	Aav	fre	1752	Berlin		Histoire De L'Academie Royale Des Sciences Et Belles Lettres ; depuis son origine jusqu'à présent ; Avec Les Pieces Originales.																Johann David	Schleuen	gnd/110847733			
83	138551316	Acr	fre	1726	Paris Saugrain		Dictionnaire Universel De La France Ancienne Et Moderne, Et De La Nouvelle France ...	Claude Marin	Saugrain	gnd/134004221							Claude	DuMoulinet des Thuilleries	gnd/1055709843									
84	138607532	Aaus	fre	1665	Amsterdam	gnd/4001783-7	Memoires Et Instructions, Pour Servir Dans Les Negociations Et Affaires Concernant Les Droits Du Roy De France	Denis	Godefroy	gnd/136921833																		
85	138642508	Acus	fre	1766	Dijon	gnd/4012315-7	Description Historique Et Critique De L'Italie, Ou Nouveaux Mémoires Sur l'État actuel de son Gouvernement, des Sciences, des Arts, du Commerce, de la Population & de l'Histoire Naturelle	Jérôme	Richard	gnd/13410191X																		
86	138682372	Aar	fre	1647	Paris		Les memorables journées des François, ou sont descrites leurs grandes batailles et leurs signalées victoires (depuis le commencement de la monarchie Françoise jusqu'à present)	Antoine	Girard	gnd/1055258116																		
87	138682720	Acr	fre	1750	La Haye		Histoire Des Celtes, Et Particulièrement Des Gaulois Et Des Germains, Depuis Les Tems fabuleux jusqu'à la Prise de Rome par les Gaulois	Simon	Pelloutier	gnd/117693405																		
88	138683719	Aar	fre	1741	Paris		Des antiquités de la nation et de la monarchie Françoise	Gilbert Charles	Le Gendre	gnd/123641772																		
89	138708738	Aar	fre	1718	Amsterdam		Lettres sur les Affaires du temps, et principalement sur celles d'Espagne sous Philippe V. et les Intrigues de la Princesse des Ursins	Guillaume	Plantavit de La Pause	gnd/1055259260																		
90	138717508	Acu	fre	1708	Paris		Histoire Genealogique De La Maison D'Auvergne ; Justifiée par Chartes, Titres, Histoires anciennes, & autres preuves authentiques	Etienne	Baluze	gnd/11944237X																		
91	138742529	Acr	fre	1721	Paris		Histoire de Suger, abbé de S. Denis, ministre d'etat, et regent du royaume sous le regne de Louis le Jeune	François Armand	Gervaise	gnd/100578969																		
92	138743150	Acus	fre	1688	Paris		Histoire De S. Louis ; Divisée en XV. Livres	Jean	Filleau de la Chaise	gnd/129748196													leer	leer	gnd/118729411			
93	138759634	Acu	fre	1688	Amsterdam		La Politique De Ferdinand Le Catholique Roy D'Espagne	Antoine	Varillas	gnd/100047548																		
94	138759790	Acus	fre	1764	A Paris		Histoire De La Maison De Montmorenci	Joseph-Louis-Ripault	Désormeaux	gnd/12343517X																		
95	138759847	Aau	fre	1657	Paris		L'histoire genealogiqve des comtes de Pontiev et Maievrs d'Abbeville ; où sont rapportez les priuileges que les roys leurs ont donnez, leurs actions heroyques, & leurs armoiries ... depuis l'an 1183 iusques à l'année 1657 ...	Jacques	Sanson	gnd/1157634834																		
96	138760063	Acus	fre	1696	Paris	gnd/4044660-8	Les Hommes Illustres, Qui Ont Paru En France pendant ce Siecle ; Avec leurs Portraits au naturel	Charles	Perrault	gnd/118740008																		
97	138765855	Aau	fre	1620	Paris		Histoire de Mre. Iean De Bovcicavt Mareschal De France, Govvernevr De Gennes, Et De Ses Memorables Faicts en France, Italie, & autres lieux, du Regne des Roys Charles V. & Charles VI. iusques en l'an 1408										Théodore	Godefroy	gnd/123792509									
98	138766207	Aaus	fre	1661	Paris		Histoire De Charles VII. Roy De France, Par Iean Chartier, Sous-Chantre de S. Denys; Iacqves Le Bovvier, Dit Berry, Roy D'Armes, Mathiev De Covcy, Et Avtres Avthevrs Dv Temps ; Qui contient les choses les plus memorables, aduenuës depuis l'an 1422. iusques en 1461.	Jean		gnd/100947794	Gilles	leer	gnd/119400006	Matthieu	leer	gnd/100953581	Denis	Godefroy	gnd/136921833	Louis	France, Roi, XIV.	leer	Jacques	Grignon	leer	...	Langot	leer
99	138767858	Aau	fre	1687	La Haye		La Minorité De Saint Louis ; Avec L'Histoire de Louis XI. et de Henri II.	Antoine	Varillas	gnd/100047548													leer	leer	gnd/118729411	leer	leer	gnd/118574930
100	138768595	Acr	fre	1712	Brusselle		Lettres du roy Louys XII. et du cardinal George d'Amboise ; avec plusieurs autres lettres, Memoires et Instructions écrites depuis 1504 jusques et compris 1514	Ludwig		gnd/118780735	Georges	Amboise	gnd/1055261478				Jean	Godefroy	gnd/172099900									
101	138769273	Aar	fre	1728	Paris		Histoire du cardinal de Tournon, ministre de France sous quatre de nos rois	Charles	Fleury-Ternal	gnd/1157635407																		
102	138770530	Acus	fre	1733	Amsterdam		Lettres D'Henry IV. Roi De France, Et De Messieurs De Villeroy, Et De Puisieux, A Mr. Antoine Le Fevre De La Boderie, Ambassadeur de France en Angleterre, Depuis 1606. jusqu'en 1611.	Heinrich		gnd/118548174	Nicolas de Neufville	Villeroi	gnd/124722423	Pierre Brulart	Puisieux	gnd/115763544X							Antoine	LeFèvre de LaBoderie	gnd/1055516441			
103	138770735	Acus	fre	1766	Paris		Histoire De La Vie De Henri IV, Roi De France Et De Navarre ; Dédiée A Son Altesse Sérénissime Monseigneur Le Prince De Condé	Richard Girard	Bury	gnd/123718066													leer	leer	gnd/118548174			
104	138771073	Aar	fre	1777	Paris		Histoire de la reine Marguerite de Valois, première femme du roi Henri IV.	Mongez		gnd/117125962																		
105	138796726	Aar	fre	1610	Paris		Les oeuvres ; Reveues et corrigees en ceste derniere edition, supléees et augmentées sur la copie, memoires et papiers de l'autheur	Claude	Fauchet	gnd/124617107																		
106	138797919	Aar	fre	1663	Paris		Histoire des roys de France et des choses plus memorables qui se sont passées sous leur règne, depuis l'origine de cette monarchie jusques à présent	Michel	Marolles	gnd/124924719																		
107	138798125	Acu	fre	1718	Paris		Nouvelle Histoire De France ; Depuis le commencement de la Monarchie, jusques à la mort de Louis XIII.	Louis	Le Gendre	gnd/128772700							Simon	Thomassin	gnd/1055719598									
108	138798192	Acr	fre	1724	Amsterdam		Annales de la monarchie Françoise, depuis son établissement jusques à présent ...	Henri Philippe	Limiers	gnd/120303132																		
109	138800596	Acus	fre	1791	Paris		Vie Privée Du Maréchal De Richelieu ; Contenant Ses Amours Et Intrigues, Et tout ce qui a rapport aux divers Rôles qu'a joués cet Homme célb̀re pendant plus de quatre-vingt ans	Louis François	Faur	gnd/100511341													Louis François Armand DuPlessis	Richelieu	gnd/118788744			
110	138801991	Aar	fre	1728	La Haye		Lettres de Louis XIV au comte de Briord, ambassadeur extraordinaire de S. M. très chrétienne auprès des Etats généraux, dans les années 1700 et 1701	Ludwig		gnd/118816829																		
111	138802106	Acu	fre	1695	Paris		Histoire de Louis XIV., Roy de France et de Navarre ; contenant ce qui s'est passé sous son Regne de plus remarquable jusqu'à present	Simon	Riencourt	gnd/100391273																		
112	138807744	Acus	fre	1666	Paris		Histoire Dv Connestable De Lesdigvieres ; Contenant Tovte Sa Vie, Auec plusieurs choses memorables, servant à l'Histoire Generale	Louis	Videl	gnd/1055261419													François de Bonne	Lesdiguières	gnd/118727745			
113	138808562	Acr	fre	1731	Amsterdam		Mémoires de la vie de Théodore-Agrippa d'Aubigné, ayeul de Mad. de Maintenon, écrits par lui-même ; avec les mémoires de Frédéric Maurice de la Tour, prince de Sedan ; une relation de la cour de France en 1700	Théodore Agrippa	Aubigné	gnd/118650947																		
