	PPN	Signatur 1	Signatur 2	Signatur 3	Signatur 4	Signatur 5	Anmerkung 1	Anmerkung 2	Anmerkung 3	Provenienz 1	Provenienz 2	Provenienz 3
1021	226644332	M: Lq 750	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1022	226996883	M: Ge 4° 60:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1023	227177894	M: Db 1465:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1024	227623452	M: Gk 4° 120:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1025	227769996	M: Lg 1876.1:1	leer	leer	leer	leer	Exlibris: Ex Bibliotheca LR Ducis Brunsvicensis Et Luneburgensis, 287	leer	leer	Provenienz: Ludwig Rudolf <Braunschweig-Wolfenbüttel, Herzog> / Exlibris / Monogramm	Provenienz: Ludwig Rudolf <Braunschweig-Wolfenbüttel, Herzog> / Nummer	Ludwig Rudolf <Braunschweig-Lüneburg, Herzog>
1026	227770005	M: Lg 1876.1:2	leer	leer	leer	leer	Exlibris: Ex Bibliotheca LR Ducis Brunsvicensis Et Luneburgensis, 287	leer	leer	Provenienz: Ludwig Rudolf <Braunschweig-Wolfenbüttel, Herzog> / Exlibris / Monogramm	Provenienz: Ludwig Rudolf <Braunschweig-Wolfenbüttel, Herzog> / Nummer	Ludwig Rudolf <Braunschweig-Lüneburg, Herzog>
1027	227770013	M: Lg 1876.1:3	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: NN / Merkzeichen
1028	227774604	M: QuN 233 (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1029	227915941	M: Gp 308 (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1030	22793282X	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1031	228051622	M: Gm 4° 216	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1032	228110955	M: Gk 1722:1	leer	leer	leer	leer	Exlibris: Elisabetha Sophia Maria Verwittwete Herzoginn Zu Br. U. Lun.	leer	leer	Provenienz: Elisabeth Sophie Marie <Braunschweig-Wolfenbüttel, Herzogin> / Exlibris / Wappen	Elisabeth Sophie Marie <Braunschweig-Lüneburg, Herzogin>	leer
1033	228135214	M: Gr 220:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1034	228189322	M: Tq 560	H: S 140a.8° Helmst.	leer	leer	leer	Wappen-Exlbiris mit Unterschrift: Adolph Friderich Reichs-Graff von der Schulenburg	leer	leer	Provenienz: Schulenburg, Adolf Friedrich ^von der^ / Exlibris / Wappen	Provenienz: Universitätsbibliothek <Helmstedt> / Signatur	Schulenburg, Adolf Friedrich ^von der^
1035	228878292	M: Lm 3428	M: Gk 1338	leer	leer	leer	leer	leer	leer	leer	leer	leer
1036	229259499	M: QuN 304a (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1037	229266843	M: Db 891	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1038	229931944	M: Gc 65:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1039	230036759	M: Ea 575:1	leer	leer	leer	leer	Wappensupralibros Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1040	230062857	M: Gl 4050	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1041	230077889	M: Gi 235:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1042	230352499	M: Lg 1926.2	leer	leer	leer	leer	Monogramm: PC [d.i. Philippine Charlotte, Herzogin zu Braunschweig-Lüneburg]	leer	leer	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Initiale	Philippine Charlotte <Braunschweig-Lüneburg, Herzogin>	leer
1043	230580998	M: Gq 143	A: 484.13 Hist.	Xd 8° 141 (1)	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	Exlibris: Ex Bibliotheca LR Ducis Brunsvicensis Et Luneburgensis	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1044	230605591	M: Hi 10:1,1	leer	leer	leer	leer	Sammelband	"Ohne [2] Bl. ""Privilegie"" am Anfang"	leer	leer	leer	leer
1045	230620809	M: Da 444:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1046	230643353	M: Rq 316	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1047	230766722	M: Gk 2° 66:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1048	231017936	M: Db 3572	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1049	232311684	M: QuN 908 (1)	M: Gp 346	A: 596.14 Hist. (1)	leer	leer	leer	leer	leer	leer	leer	leer
1050	232443149	M: Gm 1230	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1051	233203052	M: Lq 924:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1052	233250263	M: Ge 788	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1053	302499091	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1054	233644237	M: Ga 309	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Dumas de Montbail <Familie>	leer
1055	233660348	M: Db 3385	leer	leer	leer	leer	Exlibris: Elisabetha Sophia Maria Verwittwete Herzoginn Zu Br. U. Lun.	leer	leer	Provenienz: Elisabeth Sophie Marie <Braunschweig-Wolfenbüttel, Herzogin> / Exlibris / Wappen	Elisabeth Sophie Marie <Braunschweig-Lüneburg, Herzogin>	leer
